id,area,atclNo,atclNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclFetrDesc,tagList,bildNm
112,3500,2423759917,논현로얄팰리스,매매,4/15,317000,0,"31억 7,000",341,206.99,남향,올 수리 되어있는 집입니다.,"['25년이내', '올수리', '화장실한개']",1동
113,3512,2423694782,펜트힐루논현,매매,16/17,150000,0,15억,120,53.62,서향,시작V.주인직접. 펜트힐 로열층매매. 첫입주,"['4년이내', '역세권', '화장실한개']",1동
114,3513,2423694890,펜트힐루논현,매매,16/17,140000,0,14억,120,53.62,서향,시작V.펜트힐 오피매매. 로얄층. 귀한 서향. 투자용매물,"['4년이내', '역세권', '화장실한개']",1동
115,3541,2421738532,논현아이파크,매매,7/16,55000,0,"5억 5,000",71,27.56,동향,"신축급, 전세끼고, 입주협의","['4년이내', '복층', '화장실한개']",102동
116,3542,2421739029,논현아이파크,매매,4/16,52000,0,"5억 2,000",71,27.56,동향,"월세끼고 매수, 즉시 임대수익 발생, 신축, 전용8P","['4년이내', '복층', '화장실한개']",102동
117,3659,2421768998,아츠논현,전세,2/12,60000,0,6억,82,43.13,북동향,"테라스 타입,인피니티풀,아츠논현, 룸분리 하면 방 2개거실가능","['2년이내', '테라스', '방한개']",1동
118,3782,2421500567,아츠논현,매매,4/12,238000,0,"23억 8,000",122,63.9,남향,"분양가이하 매매,계약금포기","['2년이내', '복층', '방한개', '화장실한개']",1동
119,3787,2421499862,아츠논현,월세,4/12,10000,600,1억,122,63.9,남향,"남향복층,테라스 타입,인피니티풀,하이앤드","['2년이내', '테라스', '복층', '방한개']",1동
120,3815,2423029793,논현아이파크,월세,8/16,2000,165,"2,000",71,27.56,동향,복층형 원룸,"['4년이내', '융자금적은', '복층']",102동
121,3875,2422960745,논현로얄팰리스,전세,15/15,210000,0,21억,341,206.99,남동향,,"['25년이내', '융자금없는', '대형평수', '탑층']",1동
122,3928,2420723005,아츠논현,매매,2/12,132594,0,"13억 2,594",95,49.73,동향,무피 매도,"['2년이내', '방한개', '화장실한개', '세대당1대']",1동
123,4013,2422444443,삼환아르누보3차,월세,6/7,1000,85,"1,000",49,22.09,북향,"실매물, 실가격 복층 오피스텔입니다","['25년이내', '융자금없는', '역세권']",1동
124,4262,2421769447,삼환아르누보3차,월세,6/7,1000,90,"1,000",49,22.09,북향,실매물 실가격 학동역 역세권 복층오피스텔,"['25년이내', '융자금없는', '역세권']",1동
